total_arrivals,patients_served_within_shift,average_waiting_time,average_queue_length,average_time_in_system,probability_waiting,doctor_utilization,total_simulation_time,last_departure_time,avg_wait_priority_1,avg_wait_priority_2,avg_wait_priority_3
95.000000,93.000000,18.879064,3.702705,34.390485,0.694737,0.760554,484.378599,484.378599,1.915838,6.721513,30.974221
80.000000,71.000000,11.636821,1.798522,28.104076,0.475000,0.636272,517.617131,517.617131,2.156695,6.041587,20.273652
82.000000,81.000000,1.795222,0.294229,17.236196,0.365854,0.632677,500.318106,500.318106,0.492064,1.436285,2.614559
95.000000,76.000000,54.312548,9.287332,74.151202,0.778947,0.848092,555.562337,555.562337,2.674228,20.411214,101.909319
89.000000,87.000000,6.721384,1.159091,23.287983,0.584270,0.714220,516.096839,516.096839,1.239890,1.847844,11.396032
103.000000,101.000000,15.420487,3.295105,28.920978,0.572816,0.721208,482.021060,482.021060,0.834284,2.345831,26.744754
88.000000,86.000000,12.719209,2.157935,27.483496,0.602273,0.626226,518.685745,518.685745,1.320119,4.003881,24.632637
79.000000,75.000000,1.734118,0.275199,16.157178,0.278481,0.572223,497.805180,497.805180,1.791319,0.728002,2.205523
75.000000,73.000000,2.727121,0.423706,18.432398,0.373333,0.610022,482.726515,482.726515,1.450319,1.052791,4.538420
101.000000,84.000000,56.302434,10.532343,73.532049,0.772277,0.805774,539.912737,539.912737,2.661249,6.143259,104.706161
76.000000,74.000000,25.529732,3.945801,45.402665,0.697368,0.767876,491.727747,491.727747,5.202326,4.817473,43.126449
98.000000,98.000000,26.407513,5.391534,40.401948,0.724490,0.714299,480.000000,478.284725,1.408504,6.381957,45.350030
=======
82.000000,81.000000,12.566657,2.062604,31.127628,0.670732,0.761617,499.594690,499.594690,2.079772,2.970574,22.510370
67.000000,66.000000,1.786666,0.243005,15.573526,0.208955,0.468788,492.610479,492.610479,0.249539,1.395304,2.647714
81.000000,80.000000,0.711159,0.114606,14.090351,0.172840,0.539025,502.626863,502.626863,0.979791,0.784422,0.567138
69.000000,65.000000,2.590417,0.325149,21.430687,0.260870,0.591206,549.714302,549.714302,1.233402,2.511900,3.140325
82.000000,78.000000,2.143496,0.349296,17.551388,0.256098,0.627702,503.203030,503.203030,0.447273,0.918302,3.235461
70.000000,69.000000,5.837514,0.850565,22.658990,0.300000,0.612750,480.417212,480.417212,2.739358,4.830083,7.442295
69.000000,64.000000,4.544049,0.595693,23.078958,0.318841,0.607450,526.343612,526.343612,1.216478,3.207124,6.388683
72.000000,56.000000,20.039652,2.406960,42.292941,0.611111,0.668210,599.451248,599.451248,1.041858,11.004328,37.215725
87.000000,86.000000,6.276685,0.933639,21.721019,0.287356,0.574325,584.885314,584.885314,6.198020,4.057714,7.586727
76.000000,72.000000,2.626546,0.376285,20.228738,0.263158,0.630432,530.495624,530.495624,6.650401,0.606211,2.920931
81.000000,79.000000,0.795858,0.127118,15.007365,0.172840,0.567481,507.123631,507.123631,0.000000,0.539064,1.166885
91.000000,88.000000,4.751496,0.893436,19.241041,0.384615,0.681126,483.958819,483.958819,1.232703,1.303774,7.995784
73.000000,65.000000,11.510219,1.525713,32.669185,0.561644,0.701171,550.723314,550.723314,4.295941,9.545840,15.995791
66.000000,63.000000,16.395669,2.072153,35.838472,0.424242,0.614316,522.217385,522.217385,1.020347,10.081833,29.818814
76.000000,73.000000,8.697884,1.177075,26.948441,0.421053,0.617457,561.594959,561.594959,3.179866,11.398735,8.875161
77.000000,76.000000,1.712678,0.245945,16.944543,0.324675,0.546833,536.202833,536.202833,0.681853,1.420246,2.326343
69.000000,67.000000,6.760183,0.931016,21.983755,0.318841,0.524150,501.014563,501.014563,2.037481,3.889609,9.081966
64.000000,61.000000,0.866735,0.103574,17.536239,0.171875,0.497999,535.567898,535.567898,0.542712,0.390524,1.300030
88.000000,85.000000,2.660408,0.439593,18.049321,0.318182,0.635697,532.574506,532.574506,0.270959,1.471728,3.952824
64.000000,55.000000,3.254115,0.382089,19.755890,0.218750,0.484397,545.065736,545.065736,0.375935,2.201856,5.090747
76.000000,76.000000,1.109507,0.175672,16.369899,0.184211,0.604057,480.000000,449.698083,0.874404,0.569771,1.628620
77.000000,75.000000,12.677864,1.844323,32.790583,0.532468,0.731479,529.297490,529.297490,2.310317,6.341778,21.663382
76.000000,76.000000,1.355274,0.214585,17.251155,0.236842,0.629212,480.000000,477.650562,0.376779,0.726592,2.131546
91.000000,90.000000,4.491606,0.829420,18.288124,0.395604,0.636916,492.797417,492.797417,0.978556,1.029811,7.471410
77.000000,77.000000,2.164787,0.347268,16.842480,0.298701,0.588637,480.000000,479.689478,0.697899,1.086728,3.591769
65.000000,64.000000,0.057706,0.007787,14.635269,0.076923,0.491791,481.678754,481.678754,0.122732,0.000000,0.058253
70.000000,68.000000,1.190468,0.164014,17.644610,0.214286,0.566731,508.084606,508.084606,0.000000,0.605736,1.992921
90.000000,86.000000,9.406628,1.610496,27.111655,0.533333,0.757813,525.674341,525.674341,2.321506,2.924314,15.254472
69.000000,66.000000,3.223317,0.425807,23.308573,0.333333,0.663326,522.323255,522.323255,0.467732,1.606364,4.898728
92.000000,90.000000,5.621855,0.968498,20.146373,0.456522,0.625548,534.033678,534.033678,1.404185,2.052573,9.108230
>>>>>>> 98a47cf510c2ed0828206d25de21103eaff1de40
